Living things;जीवजाल
				Verbs starting with letters जु, जू, जे and जै;जु, जू, जे आनी जै अक्षरांचीं क्रियापदां
				Verbs starting with letters जो and जौ;जो आनी जौ अक्षरांचीं क्रियापदां
				Verbs starting with letters झ and झा;झ आनी झा अक्षरांचीं क्रियापदां
				Verbs starting with letters झि, झी, झु, झू, झे, झै, झो and झौ;झि, झी, झु, झू, झे, झै, झो आनी झौ अक्षरांचीं क्रियापदां
				Verbs starting with letter ट;ट अक्षराचीं क्रियापदां
				Verbs starting with letter ड;ड अक्षराचीं क्रियापदां
				Verbs starting with letter ढ;ढ अक्षराचीं क्रियापदां
				Verbs starting with letter त;त अक्षराचीं क्रियापदां
				Verbs starting with letter ता;ता अक्षराचीं क्रियापदां
				Verbs starting with letters ति, ती, तु and तू;ति, ती, तु आनी तू अक्षरांचीं क्रियापदां
				Verbs starting with letters तृ, ते, तै, तो and तौ;तृ, ते, तै, तो आनी तौ अक्षरांचीं क्रियापदां
				Verbs starting with letter थ;थ अक्षराचीं क्रियापदां
				Verbs starting with letters द and दा;द आनी दा अक्षरांचीं क्रियापदां
				Verbs starting with letters दि and दी;दि आनी दी अक्षरांचीं क्रियापदां
				Verbs starting with letters दु and दू;दु आनी दू अक्षरांचीं क्रियापदां
				Verbs starting with letters दे, दै, दो and दौ;दे, दै, दो आनी दौ अक्षरांचीं क्रियापदां
				Verbs starting with letters ध and धा;ध आनी धा अक्षरांचीं क्रियापदां
				Verbs starting with letters धि,धी,धु and धू;धि, धी, धु आनी धू अक्षरांचीं क्रियापदां
				Verbs starting with letters धे, धै, धो and धौ;धे, धै, धो आनी धौ अक्षरांचीं क्रियापदां
				Verbs starting with letters न and ना;न आनी ना अक्षरांचीं क्रियापदां
				Verbs starting with letter नि;नि अक्षराचीं क्रियापदां
				Verbs starting with letter नी;नी अक्षराचीं क्रियापदां
				Verbs starting with letters नु, नू, ने, नै, नो and नौ;नु, नू, ने, नै, नो आनी नौ अक्षरांचीं क्रियापदां
				Verbs starting with letter न्ह;न्ह अक्षराचीं क्रियापदां
				Verbs starting with letter प;प अक्षराचीं क्रियापदां
				Verbs starting with letter पा;पा अक्षराचीं क्रियापदां
				Verbs starting with letter पि;पि अक्षराचीं क्रियापदां
				Verbs starting with letter पी;पी अक्षराचीं क्रियापदां
				Verbs starting with letter पु;पु अक्षराचीं क्रियापदां
				Verbs starting with letter पू;पू अक्षराचीं क्रियापदां
				Verbs starting with letters पे and पै;पे आनी पै अक्षरांचीं क्रियापदां
				Verbs starting with letters पो and पौ;पो आनी पौ अक्षरांचीं क्रियापदां
				Verbs starting with letter प्र;प्र अक्षराचीं क्रियापदां
				Verbs starting with letter फ;फ अक्षराचीं क्रियापदां		
				Verbs starting with letter फा;फा अक्षराचीं क्रियापदां
				Verbs starting with letters फि, फी, फु and फू;फि, फी, फु आनी फू अक्षरांचीं क्रियापदां
				Verbs starting with letters फे, फै, फो and फौ;फे, फै, फो आनी फौ अक्षरांचीं क्रियापदां
				Verbs starting with letter ब;ब अक्षराचीं क्रियापदां
				Verbs starting with letter बा;बा अक्षराचीं क्रियापदां
				Verbs starting with letters बि, बी, बु and बू;बि, बी, बु आनी बू अक्षरांचीं क्रियापदां
				Verbs starting with letters बे and बै;बे आनी बै अक्षरांचीं क्रियापदां
				Verbs starting with letters बो and बौ;बो आनी बौ अक्षरांचीं क्रियापदां
				Verbs starting with letters भ and भा;भ आनी भा अक्षरांचीं क्रियापदां
				Verbs starting with letters भि and भी;भि आनी भी अक्षरांचीं क्रियापदां
				Verbs starting with letters भु and भू;भु आनी भू अक्षरांचीं क्रियापदां
				Verbs starting with letters भे, भै, भो and भौ;भे, भै, भो आनी भौ अक्षरांचीं क्रियापदां
				Verbs starting with letter म;म अक्षराचीं क्रियापदां
				Verbs starting with letter मा;मा अक्षराचीं क्रियापदां
				Verbs starting with letters मि and मी;मि आनी मी अक्षरांचीं क्रियापदां
				Verbs starting with letters मु and मू;मु आनी मू अक्षरांचीं क्रियापदां
				Verbs starting with letters मृ, मे and मै;मृ, मे आनी मै अक्षरांचीं क्रियापदां
				Verbs starting with letters मो, मौ and म्ह;मो, मौ आनी म्ह अक्षरांचीं क्रियापदां
				Verbs starting with letter य;य अक्षराचीं क्रियापदां
				Verbs starting with letter र;र अक्षराचीं क्रियापदां
				Verbs starting with letters रा;रा अक्षराचीं क्रियापदां
				Verbs starting with letters रि and री;रि आनी री अक्षरांचीं क्रियापदां
				Verbs starting with letters रु, रू, रे, रै, रो and रौ;रु, रू, रे, रै, रो आनी रौ अक्षरांचीं क्रियापदां
				Verbs starting with letter ल;ल अक्षराचीं क्रियापदां
				Verbs starting with letter ला;ला अक्षराचीं क्रियापदां
				Verbs starting with letters लि, ली, ले and लै ;लि, ली, ले आनी लै अक्षरांचीं क्रियापदां
				Verbs starting with letters लो, लौ and ल्ह;लो, लौ आनी ल्ह अक्षरांचीं क्रियापदां
				Verbs starting with letter व;व अक्षराचीं क्रियापदां
				Verbs starting with letter वा;वा अक्षराचीं क्रियापदां
				Verbs starting with letters वि and वी;वि आनी वी अक्षरांचीं क्रियापदां
				Verbs starting with letters वे and वै;वे आनी वै अक्षरांचीं क्रियापदां
				Verbs starting with letters वो and वौ;वो आनी वौ अक्षरांचीं क्रियापदां
				Verbs starting with letter व्ह;व्ह अक्षराचीं क्रियापदां
				Verbs starting with letters श and शा;श आनी शा अक्षरांचीं क्रियापदां	
				Verbs starting with letters शि and शी;शि आनी शी अक्षरांचीं क्रियापदां
				Verbs starting with letters शु, शू, शे and शै;शु, शू, शे आनी शै अक्षरांचीं क्रियापदां
				Verbs starting with letters शो, शौ, श्र and श्व;शो, शौ, श्र आनी श्व अक्षरांचीं क्रियापदां
				Verbs starting with letter स;स अक्षराचीं क्रियापदां
				Verbs starting with letter सा;सा अक्षराचीं क्रियापदां	
				Verbs starting with letters सि, सी, सु and सू;सि, सी, सु आनी सू अक्षरांचीं क्रियापदां
				Verbs starting with letters से, सै, सो and सौ;से, सै, सो आनी सौ अक्षरांचीं क्रियापदां
				Verbs starting with letters स्त, स्थ, स्फ and स्व;स्त, स्थ, स्फ आनी स्व अक्षरांचीं क्रियापदां
				Verbs starting with letter ह;ह अक्षराचीं क्रियापदां
				Verbs starting with letter हा;हा अक्षराचीं क्रियापदां
				Verbs starting with letters हि, ही, हु and हू;हि, ही, हु आनी हू अक्षरांचीं क्रियापदां
				Verbs starting with letters हे, है, हो and हौ;हे, है, हो आनी हौ अक्षरांचीं क्रियापदां
		Singular-plural;एकवचन-बहुवचन
		Transitional phrases;परिवर्ती वाक्य
	Food;अन्न आहार
		Cooked food;खाण
		Water and beverages;पानीय
		Sweets;गोडशें
			Sweet food items;गोडसाणी खाण
			Sweet ball undo;उंडो
			Sweet flat bread;पुर्णपोळी
			Jelly like sweet;हालवो
			Soft sweet dudhali;दुद्दळी
			Soft sweet pongolu;पोंगोलु
			Semolina pudding;शीरें
			Sweet ball mooliku;मूळीकु
			Sweet flat dumpling;पातळी
			Sweet mix;गोड वा पैंदार घालनु कालयलेलें
		Indian dessert;पायस
			Sweet pudding;गोड वा पैंदार घालोलो पायसु
			Sweet pudding;ककंबि
			Sweet pudding paaysu;पायसु
			Sweet pudding;खीरी
		Sweet and savoury dishes;गोडसाणी रांवदयो
			Sweet dishes;गोड्यो रांवदयो
			Sweet savoury dish god ambat;गोड आंबट
			Sweet dish god sassam;गोड सासम
			Thin sweet dish god humman;गोड हुम्माण
			Sweet savoury dish godi ghashi;गोडि घशी
			Sweet savoury dry dish;मोरगेलु
		Deep fried food items;तळ्ळेलें खाण
			Deep fried snacks;तळ्ळेलें खाण
